RegionID,VoronoiVolume,TotalFiberVolume,FiberVolumeFrac,FiberIndices,FiberLengthsInside,FiberP1_inside,FiberP2_inside,MinCorner,CuboidSize,
18,79723.8955,4362.080518,0.05471484,"11, 27, 30, 104","22.4812, 20.1829, 19.1168, 25.0","[-16.6354 -44.4341 -15.4079], [-33.4214 -46.4101 -6.3336], [-16.7651 -51.9734 -0.9605], [-29.2079 -31.0094 -24.7225]","[1.6644 -36.9140 -4.7324], [-16.1223 -44.0220 3.7851], [2.0960 -48.8639 -0.7563], [-4.7491 -36.0493 -23.5534]",[-41.421 -58.000 -32.722],[51.192 34.991 44.508],
19,29101.46304,5837.520305,0.200591987,"11, 15, 30, 47, 69, 95, 108","17.2066, 13.8424, 17.0612, 10.5634, 16.7358, 26.2915, 14.4328","[1.6644 -36.9140 -4.7324], [2.6364 -46.5760 -28.3460], [1.7707 -46.8905 -0.7563], [32.5827 -43.6013 -29.2782], [22.8993 -35.4968 -23.2721], [13.9230 -44.4843 2.8721], [24.4776 -29.6343 -5.2153]","[15.6707 -31.1582 3.4384], [16.3867 -47.3276 -26.9400], [18.6037 -44.1154 -0.5740], [38.0364 -46.1837 -20.6079], [39.3116 -32.7243 -21.5292], [40.0896 -42.4616 1.3032], [37.6501 -28.1868 0.5029]",[1.664 -50.000 -29.278],[38.425 23.149 32.717],
20,35860.269,1478.05881,0.04121717,"16, 47, 95, 117","1.3295, 15.611, 6.0877, 6.377","[48.6794 -43.6269 -33.8635], [38.0364 -46.1837 -20.6079], [40.0896 -42.4616 1.3032], [45.6535 -39.3128 -8.3999]","[50.0000 -43.6991 -33.7284], [46.0961 -50.0000 -7.7946], [46.1483 -41.9932 0.9399], [50.8722 -42.5759 -10.0681]",[30.036 -58.000 -41.864],[27.964 25.063 51.167],
21,88079.3133,4182.748882,0.04748844,"24, 64, 111, 138, 150, 156, 157, 158","16.6618, 1.0495, 16.2343, 18.0289, 4.4183, 5.9563, 14.7413, 6.1228","[-50.0000 -7.9079 0.7817], [-50.0000 5.2285 -15.9499], [-50.0000 -16.8543 -15.3101], [-50.0000 -9.5642 -19.5395], [-35.2435 -6.8980 -21.5450], [-48.2761 5.2041 -1.8681], [-44.6689 -4.9810 -8.6050], [-35.9699 -30.8221 -16.0342]","[-33.3417 -8.1711 1.0015], [-49.0380 5.6167 -15.7909], [-34.1014 -19.9296 -14.1575], [-38.1279 -4.4034 -32.0878], [-31.1741 -6.6407 -19.8434], [-44.5296 2.1255 1.5907], [-31.7932 2.1210 -7.5640], [-31.4069 -26.9736 -17.3967]",[-58.000 -37.293 -40.088],[34.826 50.910 49.678],
22,97900.8073,4350.895708,0.04444188,"24, 66, 112, 150, 157, 158","27.1014, 8.8004, 10.5362, 20.5817, 2.8428, 16.6957","[-33.3417 -8.1711 1.0015], [-4.8261 -16.7348 -23.0137], [-8.4192 -1.9771 -24.1303], [-31.1741 -6.6407 -19.8434], [-31.7932 2.1210 -7.5640], [-32.6963 -25.4448 -17.3967]","[-6.2460 -8.5993 1.3590], [2.2545 -17.1870 -17.8071], [1.6742 0.9542 -24.8670], [-12.2178 -5.4422 -11.9170], [-29.3102 3.4906 -7.3633], [-20.2539 -14.9505 -21.1121]",[-41.342 -33.445 -32.867],[51.596 44.935 42.226],
23,95753.0862,4639.553566,0.04845331,"24, 25, 26, 66, 85, 110, 112","4.0484, 11.2938, 14.9622, 33.5207, 8.7175, 7.0678, 12.6905","[13.1536 -8.9058 1.6150], [27.2203 -7.5480 0.4811], [15.0443 -7.7861 -11.7473], [2.2545 -17.1870 -17.8071], [28.4964 6.0278 0.5483], [29.8065 -12.9483 -16.7741], [1.6742 0.9542 -24.8670]","[17.2012 -8.9698 1.6684], [38.5117 -7.7264 0.6301], [21.3375 3.7828 -18.8482], [29.2242 -18.9096 2.0248], [35.7324 1.3166 1.7484], [36.7282 -14.2872 -16.2723], [13.8313 4.4850 -25.7543]",[-6.326 -28.910 -33.754],[52.837 41.395 43.779],
24,73507.946,3220.815136,0.04381588,"2, 6, 25, 65, 69, 108, 110, 139","3.0513, 9.2916, 11.4907, 5.8695, 10.8991, 3.4845, 13.552, 6.4374","[47.6221 -29.9928 -3.9025], [37.5194 -12.9097 -30.0520], [38.5117 -7.7264 0.6301], [40.7414 1.4921 -17.4805], [39.3116 -32.7243 -21.5292], [37.6501 -28.1868 0.5029], [36.7282 -14.2872 -16.2723], [46.4387 -8.0282 -13.0281]","[50.0000 -30.5755 -2.0813], [46.6381 -11.1751 -29.6337], [50.0000 -7.9079 0.7817], [46.1215 3.6633 -16.5911], [50.0000 -30.9187 -20.3942], [40.8302 -27.8373 1.8834], [50.0000 -16.8543 -15.3101], [50.6778 -6.1855 -17.5086]",[28.728 -40.724 -38.052],[29.272 52.388 47.935],
25,21276.268,6581.673193,0.309343405,"7, 42, 56, 64, 100, 132, 140, 144, 145, 156","17.0115, 23.2637, 13.3055, 18.0562, 12.0695, 1.0282, 19.0467, 5.3597, 19.0566, 2.7406","[-50.0000 10.1939 1.2094], [-49.9742 35.8607 -21.9763], [-50.0000 13.3503 -20.8741], [-49.0380 5.6167 -15.7909], [-50.0000 22.6511 -25.3521], [-35.4532 36.3464 -29.9492], [-48.2564 28.2860 -8.7068], [-37.7619 36.1792 -4.2108], [-50.0000 18.6501 -8.1443], [-50.0000 6.6206 -3.4595]","[-33.3521 6.7803 1.9764], [-30.5711 23.8723 -26.5585], [-40.0736 12.1160 -29.6480], [-32.4872 12.2960 -13.0547], [-37.9343 22.7234 -25.6458], [-34.9570 37.1884 -30.2685], [-29.3701 30.2240 -7.1813], [-32.5811 35.3360 -3.1272], [-31.6359 16.9294 -3.3533], [-48.2761 5.2041 -1.8681]",[-50.000 5.204 -30.268],[20.630 31.984 32.245],
26,110854.5523,5185.737166,0.04677965,"7, 42, 64, 90, 115, 123, 140, 145, 157","8.625, 15.7726, 7.9561, 3.863, 8.1718, 25.0, 5.9533, 18.5349, 9.2903","[-33.3521 6.7803 1.9764], [-30.5711 23.8723 -26.5585], [-32.4872 12.2960 -13.0547], [-4.6141 30.4481 -0.6707], [-17.9974 34.6232 -17.5678], [-20.4288 24.9959 -17.6391], [-29.3701 30.2240 -7.1813], [-31.6359 16.9294 -3.3533], [-29.3102 3.4906 -7.3633]","[-24.9115 5.0496 2.3653], [-17.4160 15.7442 -29.6652], [-25.1945 15.2391 -11.8491], [-3.0174 27.4560 1.1788], [-11.3099 30.4417 -19.7055], [-0.3838 10.1366 -16.0905], [-23.4669 30.8297 -6.7045], [-13.7745 15.2558 1.3065], [-21.1956 7.9665 -6.7072]",[-41.352 -4.509 -37.665],[48.968 47.133 48.031],
27,36301.74974,3749.036443,0.103274263,"8, 22, 26, 85, 102, 112, 155","14.88, 22.2418, 10.0378, 19.3042, 6.006, 1.7732, 0.3416","[28.3306 14.6372 0.2111], [13.7662 32.2250 -24.6180], [21.3375 3.7828 -18.8482], [10.2904 13.1082 -2.1093], [30.3710 28.7761 0.8757], [13.8313 4.4850 -25.7543], [39.7453 15.0471 -12.9266]","[42.8925 11.6513 0.8820], [29.5759 20.9193 -13.8044], [25.5595 11.5442 -23.6121], [26.3139 2.6757 0.5483], [34.9540 31.6936 3.4363], [15.5300 4.9783 -25.8783], [39.9602 14.8705 -12.7282]",[10.290 2.676 -34.246],[32.602 29.549 37.682],
